"","EN[1]","EN[2]","EN[3]","EN[4]","EN[5]","N[1]","N[2]","N[3]","N[4]","N[5]","beta[1, 1, 1]","beta[2, 1, 1]","beta[3, 1, 1]","beta[1, 2, 1]","beta[2, 2, 1]","beta[3, 2, 1]","beta[1, 1, 2]","beta[2, 1, 2]","beta[3, 1, 2]","beta[1, 2, 2]","beta[2, 2, 2]","beta[3, 2, 2]","beta[1, 1, 3]","beta[2, 1, 3]","beta[3, 1, 3]","beta[1, 2, 3]","beta[2, 2, 3]","beta[3, 2, 3]","beta[1, 1, 4]","beta[2, 1, 4]","beta[3, 1, 4]","beta[1, 2, 4]","beta[2, 2, 4]","beta[3, 2, 4]","beta[1, 1, 5]","beta[2, 1, 5]","beta[3, 1, 5]","beta[1, 2, 5]","beta[2, 2, 5]","beta[3, 2, 5]","p[1]","p[2]","p[3]","p[4]","p[5]"
"1",1294.7894488071,1070.32074567057,1350.52857566052,955.580371714009,891.218833574457,1316,1105,1266,991,870,0.030611669729852,0.918618058580866,-0.412047211169068,-0.581592956600811,0.70215923740058,NA,0.101151862158206,0.60394241377122,-0.371564394274186,-0.565792443699757,1.13127489511187,NA,-0.0847317801394332,0.763300787224947,-0.377314021803312,-0.316049460590802,0.816436778633041,NA,0.254790929394961,0.776675867774185,-0.519682629422203,-0.730268813904176,1.00192091294976,NA,0.220213182503912,0.803897862390884,-0.481391331101338,-0.93930697010989,1.11706602007251,NA,0.959927462614832,0.971739789928932,0.957957921177811,0.816142161527467,0.988505600585348
"2",1286.99550347664,1061.77203854073,1222.52802836518,1010.4662605941,790.729272341919,1318,1104,1238,1022,784,-0.0142572325695554,0.976405293800248,-0.384361510388108,-0.56337433426911,0.67935835449435,0,0.103308128443597,0.674842729502836,-0.24553168995404,-0.624153078250291,1.3223543129168,0,-0.0905710641899608,0.777651174260314,-0.331902041091197,-0.398114599894305,0.764628636242318,0,0.160389920223329,0.772677037046819,-0.481214926536715,-0.686253260328754,1.02952277204599,0,0.221866235384719,0.840280899991406,-0.560625735344567,-0.931238735087448,0.876279224115741,0,0.964610297109428,0.958748668677728,0.942242844698112,0.816142161527467,0.984970139603382
"3",1407.66954892653,988.585690019028,1209.80861780526,937.02197265721,793.453051073277,1483,978,1207,986,816,-0.015099112865267,0.946710538747461,-0.421106919213465,-0.463320163659386,0.669308376960336,0,0.103308128443597,0.674842729502836,-0.164738187238195,-0.669183648180401,1.22439018465752,0,-0.00810777773674047,0.79232077076211,-0.428613311159658,-0.403374971132705,0.748630673483976,0,0.16937074072033,0.815737794531337,-0.483519202841621,-0.729485448645169,0.952579090978278,0,0.243366589170271,0.820186051141883,-0.557238742696436,-0.927800012946551,0.876279224115741,0,0.972282215024193,0.943298154930067,0.94486679531515,0.817723228921109,0.981518135631013
"4",1365.05990033797,924.353814792371,1201.84839549534,975.105548194076,769.164631135874,1363,905,1200,953,793,0.0135541701164847,1.04036268734611,-0.455617105091308,-0.463320163659386,0.638733258346508,0,0.107368906501688,0.79985279254115,-0.0675460109459068,-0.768138886983734,1.34183669244759,0,-0.00810777773674047,0.885017727358844,-0.50746422375332,-0.387244552130277,0.674668840386654,0,0.27661385600579,0.85909133215968,-0.592138720005668,-0.686458040127542,0.944645171578135,0,0.267507209848423,0.820186051141883,-0.573095761017126,-1.03673725713753,1.02807298301397,0,0.974818804412552,0.927381606862565,0.913290819529343,0.800863200642662,0.989196930227543
"5",1391.74865163889,899.006479493955,1146.60980615898,997.367153286535,892.241048813207,1407,907,1159,1063,884,0.0135541701164847,1.03290892287833,-0.45786350857358,-0.463320163659386,0.658165899782789,0,0.107368906501688,0.847203666051593,-0.121136027882667,-0.741534953663658,1.1365217803153,0,0.0234780198927706,0.93690006703111,-0.590010305949894,-0.454437837897588,0.740544429572834,0,0.222339804090203,0.85262171483538,-0.700697717373083,-0.650848566047553,0.911524647733514,0,0.252538692817694,0.848148523833337,-0.671450996458066,-0.898688781649747,1.04705617919577,0,0.961814007421692,0.953979550660704,0.922092236335054,0.832842912879196,0.99117020516779
"6",1413.94233680899,968.705260076736,1137.98533424531,1036.60548203626,867.23074697946,1457,962,1168,1070,869,0.0160241561008787,0.986826073813601,-0.458527682757353,-0.463320163659386,0.673611986517462,0,0.082949134936897,0.836934292912556,0.00420835940958046,-0.689223096138871,1.22334361064244,0,-0.018893171269561,0.986237049957945,-0.557391449104083,-0.46277554936091,0.743011979351228,0,0.22018304500424,0.88093151491265,-0.791089256109562,-0.6189349145957,0.928621603370033,0,0.228413982141604,0.922196365782383,-0.678618597900434,-0.907156672223903,1.01032556412535,0,0.936171180725536,0.980713564958641,0.894568553977451,0.809670276451028,0.975889066961678
"7",1446.77600021812,1022.30499928649,1198.94837337601,1077.51426517835,885.90099261833,1446,987,1184,1044,972,0.0778677237951341,0.933766451622813,-0.454604249599665,-0.453525349783839,0.686187262717389,0,0.0329420653284402,0.811678870742585,-0.0518556474360428,-0.635014818452779,1.22199980844067,0,0.0517148682299424,0.993288919459551,-0.568863153048294,-0.406156216554425,0.729021283613334,0,0.328219431561731,0.895995351322089,-0.851911469806078,-0.604606540187431,0.988679066890767,0,0.22842830433246,0.870428408620064,-0.750302446727686,-0.87134681105364,0.982998424184112,0,0.94501420413658,0.984746966984014,0.866003783690895,0.773109461759005,0.964742108640553
"8",1319.4231887969,995.675599653366,1181.05217685476,1077.51426517835,905.407940178725,1291,1028,1131,1054,971,0.138488511399103,0.968068098343875,-0.454847305544581,-0.533574408592653,0.674640644031633,0,0.0824099316347791,0.811678870742585,-0.030363595264761,-0.651308450493474,1.18322727809259,0,-0.00206640802461242,0.996961337557903,-0.465357876744407,-0.412284615795593,0.700139595681935,0,0.24966465063084,0.811370223540791,-0.652484948023647,-0.604606540187431,0.988679066890767,0,0.228265050605293,0.940662408122247,-0.838214404793616,-0.876857358519747,1.03395203161117,0,0.927690300934374,0.992577212478807,0.866003783690895,0.77200198024807,0.96566316778021
"9",1337.81914892154,1005.04828299879,1142.2241541336,1083.98212204149,926.237812961783,1344,965,1154,1063,996,0.108270509481706,0.968068098343875,-0.466623199881852,-0.550763128014402,0.703878901975961,0,0.0377735035258015,0.7641497943941,-0.030363595264761,-0.649861749393443,1.21370367579404,0,0.0380034819436688,0.944247076283135,-0.486911420739433,-0.450088460269125,0.714454451774888,0,0.19646866462149,0.807713036687047,-0.621152650240355,-0.578382307335611,0.939071485563607,0,0.216811840644349,0.816200996850144,-0.793286966676511,-0.854111944157593,1.03395203161117,0,0.929755507758105,0.991118223941442,0.88972417694618,0.856984386636028,0.970890282917368
"10",1347.4935507491,1010.22153225949,1069.60544454325,1112.9940543918,1012.85882397567,1345,1042,1109,1115,998,0.0911089584992181,0.998928937117825,-0.468100894635845,-0.537158833900278,0.697953730227176,0,0.0327992223080116,0.669324602164164,-0.161575770793526,-0.681434721032398,1.34948204183566,0,0.0842077959640832,0.934050860144873,-0.47711805987351,-0.494989604532893,0.643872341477478,0,0.171661772811396,0.841706910776235,-0.729156081800521,-0.52678833156844,0.87363122599509,0,0.164380155675362,0.881335260530283,-0.625661104251577,-0.722635876913192,0.95455805182706,0,0.914135272983865,0.989762469035533,0.864431756467764,0.856984386636028,0.971471453867432
"11",1346.37136583728,974.131584404038,1136.19691611924,1094.58496175726,1006.12364893302,1335,1019,1071,1085,951,0.186141112024919,0.955852886593176,-0.479182371885782,-0.565862780993016,0.723397909286213,0,0.00278458947669699,0.776171699535656,-0.146442244760231,-0.736893446550333,1.4170516335225,0,0.0852670244060238,0.884495959654715,-0.444038063613928,-0.436462901621029,0.650509911228294,0,0.132921131505022,0.848205902934577,-0.562986391959011,-0.556147053414574,0.907146859960178,0,0.159037753112252,0.881335260530283,-0.583891804017,-0.708929228084768,0.914269001349727,0,0.922483256007785,0.99158783749288,0.868760258052512,0.84862040567349,0.948731447108066
"12",1436.18394041246,1021.75703249567,1114.60025233415,1074.21357294202,1021.50494688877,1428,1029,1085,1065,1067,0.179903129145122,0.991165417143203,-0.496124829689407,-0.483424431647639,0.707199241153715,0,0.0292969773698269,0.706346866035195,-0.147533677596831,-0.66732335705934,1.33956104759195,0,0.0233288033976223,1.0183961873692,-0.438525014890314,-0.438899044667404,0.588586550038366,0,0.135125918669072,0.863982107624967,-0.509954115158892,-0.537294647218076,0.803767708563392,0,0.17070059752813,0.85423701054822,-0.664970419792443,-0.664220470927554,0.853315933493498,0,0.923344911245193,0.985786766319257,0.868690660365845,0.845080100553634,0.954113469159899
