"","N_True"
"1",8767
"2",9313
"3",8996
"4",9276
"5",9167
"6",9335
"7",9043
"8",9122
"9",8980
"10",8919
"11",8987
"12",9062
"13",8921
"14",9268
"15",9232
"16",8860
"17",9140
"18",8908
"19",9039
"20",9263
"21",9466
"22",9305
"23",9206
"24",9384
"25",9000
"26",9228
"27",8797
"28",8932
"29",9483
"30",9227
"31",8997
"32",9580
"33",9088
"34",9226
"35",9157
"36",9357
"37",9539
"38",9473
"39",9016
"40",9247
"41",9503
"42",9062
"43",9491
"44",9289
"45",9513
"46",9356
"47",9278
"48",9442
"49",9304
"50",9445
"51",9298
"52",8815
"53",9194
"54",8992
"55",9143
"56",8818
"57",9231
"58",9099
"59",9308
"60",9119
"61",9064
"62",9261
"63",9397
"64",9262
"65",9286
"66",9086
"67",9081
"68",9394
"69",9137
"70",9162
"71",9091
"72",9399
"73",9157
"74",9183
"75",9259
"76",9349
"77",9377
"78",9142
"79",9055
"80",9213
"81",9321
"82",9060
"83",8979
"84",9297
"85",9251
"86",9658
"87",9350
"88",9078
"89",9165
"90",9264
"91",8965
"92",9235
"93",9155
"94",9206
"95",8966
"96",9240
"97",9074
"98",9340
"99",9161
"100",9459
"101",9065
"102",9038
"103",8939
"104",9422
"105",8897
"106",9026
"107",9048
"108",9001
"109",8996
"110",9235
"111",9115
"112",9128
"113",9087
"114",9260
"115",9282
"116",8906
"117",9191
"118",8838
"119",9239
"120",9357
"121",9309
"122",9423
"123",9082
"124",9467
"125",9152
"126",9018
"127",8970
"128",9123
"129",9431
"130",9504
"131",8842
"132",9268
"133",9226
"134",8845
"135",9069
"136",8877
"137",9392
"138",8982
"139",9294
"140",8773
"141",9372
"142",9342
"143",9290
"144",8952
"145",9412
"146",9226
"147",9279
"148",9527
"149",9125
"150",9264
"151",9256
"152",8898
"153",8849
"154",9238
"155",9247
"156",9333
"157",9258
"158",8682
"159",9385
"160",9483
"161",8960
"162",9089
"163",9294
"164",9129
"165",8858
"166",9282
"167",9070
"168",8894
"169",9380
"170",8911
"171",8942
"172",9246
"173",9186
"174",9374
"175",9382
"176",8925
"177",9282
"178",9010
"179",9187
"180",9253
"181",9127
"182",8898
"183",9305
"184",8917
"185",9675
"186",9567
"187",9347
"188",9203
"189",9318
"190",8920
"191",9224
"192",9339
"193",9211
"194",8926
"195",9389
"196",9166
"197",9397
"198",9109
"199",8820
"200",9648
